,Dimension (mm),y_aircraft,y_automobile,y_bullet train,y_gas pipeline,y_oil pipeline,y_ship/high-pressure gas pipeline,y_very-high-pressure gas pipeline
0,0.0092250377679396,,,,,,,44.53999751936115
1,0.0411765239574348,,,,,,2.6942588385434423,
2,0.0480317779044042,161.4792982457014,,,,,,
3,0.0501922821476157,138.01777925648486,,,,,3.4102968042648705,
4,0.0536166114245303,131.963709702502,,,,,2.914810732047833,
5,0.0560283255342988,,,,,,0.6342678489330914,
6,0.0572745628938418,,,,,,1.3989227339661412,
7,0.0598508143165251,110.28906065683591,,,,,,
8,0.0625429473986665,,,,,,2.129348389308199,
9,0.0653561745814434,88.13123183182714,,,,,,
10,0.0668098911732475,,,,,,1.819972833350566,
11,0.0729553801589698,,,,,,1.5908284415574845,
12,0.0745781257874843,,,,,,0.3540184891484167,
13,0.076236966127165,,,,,,1.215458765635207,
14,0.0832496019421891,,,,,,1.111166631646145,
15,0.0909072930836821,,,17.14316003412703,,,,
16,0.0929293428918003,,,,,,0.7712583163726988,
17,0.101477422272906,,,,,,0.7761310088692068,
18,0.1108117943236026,,,11.859295755035536,,,0.49821394353905446,
19,0.1210047859532091,,,14.066083756721193,,,0.5421143200061129,
20,0.1321353770413874,,,20.977475233648235,,,0.495598336989676,
21,0.1411502100148759,,,13.00626758592123,,,0.4141977758347676,
22,0.1507800729323472,,,,,,0.378657639750631,
23,0.154133872250299,,,5.841957750992923,,,,
24,0.1610669257317288,41.11128099238549,,8.945885739759344,,,,
25,0.1720555910349656,,,4.668268365313948,,,,
26,0.1837939494524032,,,4.267708771177665,,,0.2528844051822121,
27,0.1920611347408352,,,3.730381228259813,,,,
28,0.2007001840258617,,,3.3346627506181887,,,,
29,0.2240363411315576,,,2.72514478300961,,,,
30,0.2791642957690524,,,,0.0901301513072915,,,
31,0.2853737437852159,,,,0.0251000909386475,,,
32,0.3402883913480697,,,,0.0601929218101539,,,
33,0.3478574218745512,,,,0.017143160034127,,,
34,0.4147958425960486,,0.8117373973322901,,,,,
35,0.424022141449293,,0.7589178635827746,,,,,
36,0.4630256984708389,,0.6784119304741355,,,,,
37,0.9782409974589809,,0.1509718838139313,,,,,
38,1.000000000000003,,0.1411481840083732,,,,,
39,1.0222429877683967,,0.1319637097025021,,,,,
40,2.750999084488844,,,,,0.0140096905219694,,
41,4.56284450373218,,,,,0.0048824334675528,,
